Date,Month,Year,CustomerID,ProductType,ServiceType,Quantity,UnitPrice,Region,SalesRep,InstallationRequired,PaymentMethod,TotalRevenue,InstallationDate
4/12/2024,April,2024,6938,Solar Panel 500W,Product Purchase,2,"?326,470",Kano,Michael,No,Online Gateway,"?652,940",
12/14/2024,December,2024,8999,Accessories,Maintenance,8,"?401,736",Port Harcourt,Michael,No,Transfer,"?3,213,888",
9/27/2024,September,2024,8219,Solar Panel 300W,Installation,7,"?140,899",Lagos,Tunde,Yes,Online Gateway,"?986,293",10/2/2024
4/16/2024,April,2024,6328,Inverter 3.5kVA,Installation,1,"?358,009",Port Harcourt,Ada,No,Online Gateway,"?358,009",
3/12/2024,March,2024,4621,Solar Panel 500W,Repair,2,"?398,572",Kano,Michael,No,Transfer,"?797,144",
7/7/2024,July,2024,4683,Solar Panel 500W,Installation,7,"?310,605",Ibadan,John,No,Transfer,"?2,174,235",
1/21/2024,January,2024,8872,Accessories,Maintenance,3,"?220,347",Lagos,Michael,No,POS,"?661,041",
4/12/2024,April,2024,6310,Accessories,Product Purchase,2,"?20,976",Lagos,Grace,No,Online Gateway,"?41,952",
5/1/2024,May,2024,1652,Inverter 3.5kVA,Product Purchase,1,"?67,449",Enugu,Tunde,Yes,Transfer,"?67,449",5/13/2024
8/2/2024,August,2024,6799,Inverter 3.5kVA,Product Purchase,7,"?264,746",Kano,Michael,No,POS,"?1,853,222",
11/26/2024,November,2024,9812,Charge Controller,Maintenance,3,"?412,584",Kano,Tunde,No,Online Gateway,"?1,237,752",
3/28/2024,March,2024,4790,Accessories,Repair,6,"?411,239",Kano,Ada,No,Transfer,"?2,467,434",
4/9/2024,April,2024,2645,Solar Panel 500W,Maintenance,8,"?368,465",Kano,Michael,No,Online Gateway,"?2,947,720",
12/25/2024,December,2024,5512,Battery 200Ah,Installation,6,"?122,435",Kano,Tunde,Yes,Online Gateway,"?734,610",12/28/2024
