Date,CustomerID,ProductType,ServiceType,Quantity,UnitPrice,Region,SalesRep,InstallationRequired,PaymentMethod,TotalRevenue,InstallationDate
2024-04-12,6938,Solar Panel 500W,Product Purchase,2,326470,Kano,Michael,No,Online Gateway,652940,
2024-12-14,8999,Accessories,Maintenance,8,401736,Port Harcourt,Michael,No,Transfer,3213888,
2024-09-27,8219,Solar Panel 300W,Installation,7,140899,Lagos,Tunde,Yes,Online Gateway,986293,2024-10-02
2024-04-16,6328,Inverter 3.5kVA,Installation,1,358009,Port Harcourt,Ada,No,Online Gateway,358009,
2024-03-12,4621,Solar Panel 500W,Repair,2,398572,Kano,Michael,No,Transfer,797144,
2024-07-07,4683,Solar Panel 500W,Installation,7,310605,Ibadan,John,No,Transfer,2174235,
2024-01-21,8872,Accessories,Maintenance,3,220347,Lagos,Michael,No,POS,661041,
2024-04-12,6310,Accessories,Product Purchase,2,20976,Lagos,Grace,No,Online Gateway,41952,
2024-05-01,1652,Inverter 3.5kVA,Product Purchase,1,67449,Enugu,Tunde,Yes,Transfer,67449,2024-05-13
2024-08-02,6799,Inverter 3.5kVA,Product Purchase,7,264746,Kano,Michael,No,POS,1853222,
2024-11-26,9812,Charge Controller,Maintenance,3,412584,Kano,Tunde,No,Online Gateway,1237752,
2024-03-28,4790,Accessories,Repair,6,411239,Kano,Ada,No,Transfer,2467434,
2024-04-09,2645,Solar Panel 500W,Maintenance,8,368465,Kano,Michael,No,Online Gateway,2947720,
2024-12-25,5512,Battery 200Ah,Installation,6,122435,Kano,Tunde,Yes,Online Gateway,734610,2024-12-28
2024-05-31,5759,Battery 200Ah,Site Inspection,7,339035,Kano,John,No,Cash,2373245,
2024-05-10,6874,Solar Panel 300W,Site Inspection,6,324808,Lagos,John,No,POS,1948848,
2024-05-29,4688,Solar Panel 500W,Site Inspection,7,195317,Port Harcourt,Stella,Yes,Cash,1367219,2024-06-06
2024-11-04,8689,Battery 200Ah,Product Purchase,5,155594,Ibadan,Michael,No,Cash,777970,
2024-09-14,2379,Solar Panel 500W,Maintenance,9,319865,Kano,Ada,Yes,Cash,2878785,2024-09-18
2024-12-09,5243,Accessories,Maintenance,3,447644,Ibadan,Grace,No,Transfer,1342932,
2024-10-20,7507,Solar Panel 500W,Product Purchase,6,160248,Enugu,Stella,No,Cash,961488,
2024-07-10,8819,Battery 200Ah,Installation,9,364113,Lagos,Michael,Yes,Cash,3277017,2024-07-15
2024-10-03,9593,Solar Panel 500W,Site Inspection,1,230213,Ibadan,John,Yes,Online Gateway,230213,2024-10-06
2024-06-09,3653,Inverter 3.5kVA,Site Inspection,5,34126,Lagos,Ada,Yes,Cash,170630,2024-06-16
2024-11-09,6611,Solar Panel 300W,Product Purchase,4,278240,Abuja,John,No,Online Gateway,1112960,
2024-01-22,7127,Charge Controller,Site Inspection,9,105111,Port Harcourt,Michael,No,POS,945999,
2024-09-09,4923,Battery 200Ah,Repair,1,438056,Abuja,Grace,No,Online Gateway,438056,
2024-08-23,9459,Accessories,Maintenance,4,331299,Lagos,Ada,Yes,Transfer,1325196,2024-09-04
2024-12-10,6912,Charge Controller,Site Inspection,1,426703,Enugu,Ada,Yes,Cash,426703,2024-12-19
2024-02-18,6130,Solar Panel 300W,Site Inspection,3,394574,Abuja,Stella,No,Transfer,1183722,
2024-02-28,6439,Inverter 3.5kVA,Repair,4,85265,Lagos,Ada,No,POS,341060,
2024-06-18,8880,Inverter 3.5kVA,Installation,1,271243,Abuja,Michael,Yes,Transfer,271243,2024-06-29
2024-07-06,7449,Inverter 3.5kVA,Installation,5,248675,Lagos,Grace,Yes,Online Gateway,1243375,2024-07-11
2024-09-27,2725,Inverter 3.5kVA,Repair,6,383655,Port Harcourt,Grace,No,Cash,2301930,
2024-07-08,8522,Battery 200Ah,Installation,1,195349,Enugu,Tunde,No,Online Gateway,195349,
2024-06-23,5784,Battery 200Ah,Product Purchase,4,341230,Port Harcourt,Tunde,No,Transfer,1364920,
2024-02-20,2232,Solar Panel 500W,Repair,4,46185,Port Harcourt,Ada,No,Online Gateway,184740,
2024-12-29,9808,Accessories,Maintenance,1,430597,Lagos,Tunde,Yes,Transfer,430597,2025-01-01
2024-02-24,9338,Solar Panel 500W,Maintenance,2,63555,Ibadan,Grace,No,Transfer,127110,
2024-08-31,8446,Accessories,Maintenance,5,200898,Abuja,Michael,Yes,Transfer,1004490,2024-09-04
2024-11-15,5616,Solar Panel 300W,Site Inspection,2,288908,Abuja,Stella,No,Transfer,577816,
2024-05-10,5725,Solar Panel 500W,Repair,3,335276,Abuja,John,No,POS,1005828,
2024-11-02,4677,Solar Panel 300W,Repair,9,167954,Enugu,John,No,Cash,1511586,
2024-05-14,7287,Solar Panel 300W,Installation,5,185247,Abuja,Michael,Yes,Online Gateway,926235,2024-05-19
2024-01-21,9480,Solar Panel 300W,Repair,1,181192,Port Harcourt,Stella,No,Online Gateway,181192,
2024-11-24,2409,Inverter 3.5kVA,Repair,5,385151,Ibadan,Michael,Yes,Online Gateway,1925755,2024-12-01
2024-06-15,9205,Charge Controller,Installation,3,415099,Abuja,Ada,No,Transfer,1245297,
2024-09-30,1256,Charge Controller,Repair,1,346900,Ibadan,Stella,No,Transfer,346900,
2024-03-29,2721,Battery 200Ah,Repair,3,273665,Lagos,Grace,Yes,Cash,820995,2024-04-11
2024-11-11,2423,Solar Panel 300W,Product Purchase,6,265597,Lagos,Tunde,No,Cash,1593582,
2024-01-14,5953,Inverter 3.5kVA,Installation,5,43293,Enugu,Ada,Yes,Cash,216465,2024-01-27
2024-08-29,3990,Solar Panel 500W,Product Purchase,1,39656,Abuja,Tunde,Yes,Online Gateway,39656,2024-09-01
2024-09-21,2195,Solar Panel 500W,Site Inspection,2,57604,Kano,Ada,Yes,Cash,115208,2024-10-05
2024-12-11,5559,Battery 200Ah,Installation,5,400699,Enugu,Ada,No,Transfer,2003495,
2024-02-22,5365,Battery 200Ah,Repair,9,259860,Port Harcourt,Ada,No,Cash,2338740,
2024-12-05,2244,Solar Panel 300W,Repair,5,318451,Enugu,Ada,Yes,POS,1592255,2024-12-16
2024-04-01,7766,Solar Panel 300W,Product Purchase,5,287248,Abuja,Stella,No,Transfer,1436240,
2024-09-20,6302,Solar Panel 500W,Product Purchase,1,40966,Port Harcourt,Stella,No,POS,40966,
2024-02-04,2306,Solar Panel 500W,Site Inspection,5,65710,Abuja,Ada,No,Cash,328550,
2024-07-24,3402,Solar Panel 500W,Site Inspection,8,32822,Port Harcourt,Michael,Yes,POS,262576,2024-08-05
2024-03-21,1496,Solar Panel 500W,Repair,9,411141,Kano,Ada,Yes,Transfer,3700269,2024-03-31
2024-02-19,4399,Charge Controller,Maintenance,3,373973,Kano,Ada,No,Online Gateway,1121919,
2024-12-25,1909,Solar Panel 300W,Site Inspection,4,19819,Enugu,Michael,Yes,Transfer,79276,2024-12-30
2024-01-02,1372,Solar Panel 300W,Repair,7,413587,Lagos,Michael,No,Transfer,2895109,
2024-02-23,7236,Solar Panel 500W,Site Inspection,7,216311,Enugu,Ada,No,Transfer,1514177,
2024-04-15,2344,Inverter 3.5kVA,Installation,1,26984,Abuja,John,No,POS,26984,
2024-09-16,9515,Solar Panel 500W,Product Purchase,6,234704,Kano,John,No,Transfer,1408224,
2024-11-05,3431,Accessories,Repair,9,365441,Kano,Michael,No,Transfer,3288969,
2024-07-09,5670,Battery 200Ah,Site Inspection,5,228349,Enugu,Ada,No,Transfer,1141745,
2024-08-05,3784,Accessories,Product Purchase,8,231389,Abuja,Grace,Yes,Cash,1851112,2024-08-13
2024-02-13,2695,Inverter 3.5kVA,Maintenance,9,155352,Enugu,Tunde,No,POS,1398168,
2024-06-10,2907,Battery 200Ah,Site Inspection,3,408508,Enugu,Tunde,Yes,Cash,1225524,2024-06-20
2024-07-20,5814,Inverter 3.5kVA,Repair,1,348123,Enugu,Ada,Yes,Transfer,348123,2024-07-30
